            Saldo freq
1         R$ 0,00 3617
410 R$ 105.435,74    1
411 R$ 105.443,68    1
412 R$ 105.473,74    2
413 R$ 105.489,31    1
414 R$ 105.492,53    1
415 R$ 105.514,69    1
416 R$ 105.522,06    1
417 R$ 105.525,65    1
418 R$ 105.563,00    1
419 R$ 105.588,66    1
420 R$ 105.599,67    1
421 R$ 105.603,21    1
422 R$ 105.609,17    1
423 R$ 105.617,73    1
424 R$ 105.627,95    1
425 R$ 105.663,56    1
426 R$ 105.683,63    1
427 R$ 105.701,91    1
428 R$ 105.722,69    1
429 R$ 105.736,32    1
430 R$ 105.767,28    1
431 R$ 105.770,14    1
432 R$ 105.770,70    1
433 R$ 105.792,49    1
434 R$ 105.795,90    1
435 R$ 105.799,32    1
436 R$ 105.843,26    1
437 R$ 105.858,71    1
438 R$ 105.864,60    1
439 R$ 105.907,42    1
440 R$ 105.918,10    1
441 R$ 105.934,96    1
442 R$ 105.957,44    1
443 R$ 105.961,68    1
444 R$ 105.969,42    1
445 R$ 106.000,12    1
446 R$ 106.005,54    1
447 R$ 106.011,59    1
448 R$ 106.012,20    1
449 R$ 106.022,73    1
450 R$ 106.036,52    1
451 R$ 106.045,92    1
452 R$ 106.059,40    1
453 R$ 106.070,29    1
454 R$ 106.070,89    1
455 R$ 106.074,89    1
456 R$ 106.086,42    1
457 R$ 106.089,20    1
458 R$ 106.116,50    1
459 R$ 106.116,56    1
460 R$ 106.134,46    1
461 R$ 106.138,33    1
462 R$ 106.160,37    1
463 R$ 106.171,68    1
464 R$ 106.190,55    1
465 R$ 106.192,10    1
466 R$ 106.198,50    1
467 R$ 106.230,92    1
468 R$ 106.234,02    1
469 R$ 106.242,67    1
470 R$ 106.250,72    1
471 R$ 106.259,63    1
472 R$ 106.260,67    1
473 R$ 106.261,63    1
474 R$ 106.266,80    1
475 R$ 106.288,54    1
476 R$ 106.290,64    1
477 R$ 106.301,85    1
478 R$ 106.307,91    1
479 R$ 106.328,08    1
480 R$ 106.344,95    1
481 R$ 106.365,29    1
482 R$ 106.376,85    1
483 R$ 106.396,48    1
484 R$ 106.397,75    1
485 R$ 106.405,03    1
486 R$ 106.414,57    1
487 R$ 106.415,57    1
488 R$ 106.425,75    1
489 R$ 106.431,97    1
490 R$ 106.434,94    1
491 R$ 106.453,53    1
492 R$ 106.458,31    1
493 R$ 106.486,66    1
494 R$ 106.506,77    1
495 R$ 106.511,85    1
496 R$ 106.518,52    1
497 R$ 106.520,73    1
498 R$ 106.521,49    1
499 R$ 106.545,53    1
500 R$ 106.570,34    1
 [ reached 'max' / getOption("max.print") -- omitted 5882 rows ]
