ID_Cliente,Nota_Credito,Pais,Genero,Idade,Tempo_de_Conta,Saldo,Numero_Produtos,Cartao_Credito,Membro_Ativo,Salario,Abandonou
15625759,729,France,Male,30,9,"R$ 0,00",2,1,0,"R$ 151.869,35",0
15622897,646,France,Female,46,4,"R$ 0,00",3,1,0,"R$ 93.251,42",1
15767954,635,Germany,Female,28,3,"R$ 81.623,67",2,1,1,"R$ 156.791,36",0
15757535,647,Spain,Female,44,5,"R$ 0,00",3,1,1,"R$ 174.205,22",1
15731511,808,France,Male,45,7,"R$ 118.626,55",2,1,0,"R$ 147.132,46",0
15809248,524,France,Female,36,10,"R$ 0,00",2,1,0,"R$ 109.614,57",0
15640635,769,France,Male,29,8,"R$ 0,00",2,1,1,"R$ 172.290,61",0
15676966,730,Spain,Male,42,4,"R$ 0,00",2,0,1,"R$ 85.982,47",0
15699461,515,Spain,Male,35,10,"R$ 176.273,95",1,0,1,"R$ 121.277,78",0
15738721,773,Spain,Male,41,9,"R$ 102.827,44",1,0,1,"R$ 64.595,25",0
15693683,814,Germany,Male,29,8,"R$ 97.086,40",2,1,1,"R$ 197.276,13",0
15604348,710,Spain,Male,22,8,"R$ 0,00",2,0,0,"R$ 99.645,04",0
15633059,413,France,Male,34,9,"R$ 0,00",2,0,0,"R$ 6.534,18",0
15808582,665,France,Female,40,6,"R$ 0,00",1,1,1,"R$ 161.848,03",0
15743192,623,France,Female,44,6,"R$ 0,00",2,0,0,"R$ 167.162,43",0
15580146,738,France,Male,31,9,"R$ 82.674,15",1,1,0,"R$ 41.970,72",0
15776605,528,Spain,Male,36,7,"R$ 0,00",2,1,0,"R$ 60.536,56",0
15804919,670,Spain,Female,65,1,"R$ 0,00",1,1,1,"R$ 177.655,68",1
15613854,622,Spain,Female,46,4,"R$ 107.073,27",2,1,1,"R$ 30.984,59",1
15599195,582,Germany,Male,32,1,"R$ 88.938,62",1,1,1,"R$ 10.054,53",0
15812878,785,Germany,Female,36,2,"R$ 99.806,85",1,0,1,"R$ 36.976,52",0
15602312,605,Spain,Male,33,5,"R$ 150.092,80",1,0,0,"R$ 71.862,79",0
15744689,479,Germany,Male,35,9,"R$ 92.833,89",1,1,0,"R$ 99.449,86",1
15803526,685,Germany,Male,30,3,"R$ 90.536,81",1,0,1,"R$ 63.082,88",0
15665790,538,Germany,Male,39,7,"R$ 108.055,10",2,1,0,"R$ 27.231,26",0
15715951,562,France,Male,42,2,"R$ 100.238,35",1,0,0,"R$ 86.797,41",0
15591100,675,Spain,Male,36,9,"R$ 106.190,55",1,0,1,"R$ 22.994,32",0
15609618,721,Germany,Male,28,9,"R$ 154.475,54",2,0,1,"R$ 101.300,94",1
15675522,628,Germany,Female,30,9,"R$ 132.351,29",2,1,1,"R$ 74.169,13",0
15705512,668,Germany,Female,37,6,"R$ 167.864,40",1,1,0,"R$ 115.638,29",0
15698028,506,France,Female,41,1,"R$ 0,00",2,1,0,"R$ 31.766,30",0
15661670,524,Germany,Female,31,8,"R$ 107.818,63",1,1,0,"R$ 199.725,39",1
15600781,699,Germany,Male,34,4,"R$ 185.173,81",2,1,0,"R$ 120.834,48",0
15682472,828,France,Male,34,8,"R$ 129.433,34",2,0,0,"R$ 38.131,77",0
15580203,674,Spain,Male,39,6,"R$ 120.193,42",1,0,0,"R$ 100.130,95",0
15690673,656,France,Female,39,6,"R$ 0,00",2,1,0,"R$ 141.069,88",0
15760085,684,Germany,Female,48,10,"R$ 126.384,42",1,1,1,"R$ 198.129,36",0
15779659,625,France,Female,28,3,"R$ 0,00",1,0,0,"R$ 183.646,41",0
15627360,432,France,Male,42,9,"R$ 152.603,45",1,1,0,"R$ 110.265,24",1
15671137,549,France,Female,52,1,"R$ 0,00",1,0,1,"R$ 2,460,396,00",1
15782688,625,Germany,Male,56,0,"R$ 148.507,24",1,1,0,"R$ 46.824,08",1
15575492,828,France,Female,41,7,"R$ 0,00",2,1,0,"R$ 171.378,77",0
15591607,770,France,Male,24,9,"R$ 101.827,07",1,1,0,"R$ 167.256,35",0
15740404,758,France,Female,34,3,"R$ 0,00",2,1,1,"R$ 124.226,16",0
15718369,795,Germany,Female,33,9,"R$ 130.862,43",1,1,1,"R$ 114.935,21",0
15677871,687,France,Male,38,9,"R$ 122.570,87",1,1,1,"R$ 35.608,88",0
15642004,686,France,Male,25,1,"R$ 0,00",2,0,1,"R$ 16.459,37",0
15712543,789,Germany,Male,39,7,"R$ 124.828,46",2,1,1,"R$ 124.411,08",0
15584518,589,Germany,Female,50,5,"R$ 144.895,05",2,1,1,"R$ 34.941,23",0
15802381,461,Germany,Female,34,5,"R$ 63.663,93",1,0,1,"R$ 167.784,28",0
15610156,637,France,Male,40,2,"R$ 133.463,10",1,0,1,"R$ 93.165,34",0
15594408,584,Spain,Female,48,2,"R$ 213.146,20",1,1,0,"R$ 75.161,25",1
15640905,579,Spain,Female,35,1,"R$ 129.490,36",2,0,1,"R$ 8.590,83",1
15698932,756,Germany,Male,44,10,"R$ 137.452,09",1,1,0,"R$ 189.543,90",0
15724944,663,France,Male,34,7,"R$ 0,00",2,1,1,"R$ 180.427,24",0
15628145,682,France,Female,43,5,"R$ 125.851,93",1,1,1,"R$ 193.318,33",0
15713483,793,Spain,Male,52,2,"R$ 0,00",1,1,0,"R$ 159.123,82",1
15612350,691,France,Female,31,5,"R$ 40.915,55",1,1,0,"R$ 126.213,84",1
15800703,485,Spain,Female,21,5,"R$ 113.157,22",1,1,1,"R$ 54.141,50",0
15705707,635,Spain,Female,29,8,"R$ 138.296,94",2,1,0,"R$ 141.075,51",0
15754105,650,France,Male,37,5,"R$ 106.967,18",1,0,0,"R$ 24.495,03",0
15703264,735,France,Male,44,9,"R$ 120.681,63",1,1,0,"R$ 74.836,34",0
15794413,416,France,Male,32,0,"R$ 0,00",2,0,1,"R$ 878,87",0
15650237,754,Spain,Female,32,7,"R$ 0,00",2,1,0,"R$ 89.520,75",0
15759618,535,France,Female,48,9,"R$ 0,00",1,1,0,"R$ 149.892,79",1
15811589,716,Spain,Male,42,8,"R$ 0,00",2,1,0,"R$ 180.800,42",0
15689044,539,France,Male,37,2,"R$ 127.609,59",1,1,0,"R$ 98.646,22",0
15709368,614,France,Female,43,6,"R$ 0,00",2,1,1,"R$ 109.041,53",0
15679145,706,Spain,Male,57,7,"R$ 0,00",1,1,0,"R$ 17.941,16",1
15655007,758,France,Female,33,7,"R$ 0,00",2,0,0,"R$ 82.996,47",0
15623595,586,Spain,Female,28,2,"R$ 0,00",2,1,1,"R$ 92.067,35",0
15589975,646,France,Female,73,6,"R$ 97.259,25",1,0,1,"R$ 104.719,66",0
15804017,631,Germany,Female,33,4,"R$ 123.246,70",1,0,0,"R$ 112.687,57",0
15692132,717,Spain,Female,22,6,"R$ 101.060,25",1,0,1,"R$ 84.699,56",0
15641122,684,France,Male,30,2,"R$ 0,00",2,1,0,"R$ 83.473,82",0
15630910,800,France,Female,49,7,"R$ 108.007,36",1,0,0,"R$ 47.125,11",0
15680772,721,Spain,Female,36,2,"R$ 0,00",2,1,1,"R$ 106.977,80",0
15658929,683,Spain,Male,29,0,"R$ 133.702,89",1,1,0,"R$ 55.582,54",1
15585388,660,Germany,Male,31,9,"R$ 125.189,75",2,1,1,"R$ 139.874,43",0
15724623,704,Germany,Female,24,7,"R$ 113.034,22",1,1,0,"R$ 162.503,48",1
15588537,615,Spain,Female,41,9,"R$ 109.013,23",1,1,0,"R$ 196.499,96",0
15574692,667,Spain,Female,39,2,"R$ 0,00",2,1,0,"R$ 40.721,24",1
15611325,682,Germany,Male,24,9,"R$ 57.929,81",2,0,0,"R$ 53.134,30",0
15587562,484,France,Female,29,4,"R$ 130.114,39",1,1,0,"R$ 164.017,89",0
15613172,628,Germany,Male,27,5,"R$ 95.826,49",2,1,0,"R$ 155.996,96",0
15651022,480,Germany,Male,44,10,"R$ 129.608,57",1,1,0,"R$ 1,304,830,00",1
15586310,578,France,Male,30,4,"R$ 169.462,09",1,1,0,"R$ 112.187,11",0
15625524,512,France,Male,40,5,"R$ 0,00",2,1,1,"R$ 146.457,83",0
15755209,484,Spain,Female,35,7,"R$ 133.868,21",1,1,1,"R$ 27.286,10",0
15645248,510,France,Female,30,0,"R$ 0,00",2,1,1,"R$ 130.553,47",0
15790355,606,Germany,Male,36,5,"R$ 190.479,48",2,0,0,"R$ 179.351,89",0
15762615,597,Spain,Female,40,8,"R$ 101.993,12",1,0,1,"R$ 94.774,12",0
15625426,754,Germany,Female,55,3,"R$ 161.608,81",1,1,0,"R$ 8.080,85",1
15716334,850,Spain,Female,45,2,"R$ 122.311,21",1,1,1,"R$ 19.482,50",0
15789669,510,France,Male,65,2,"R$ 0,00",2,1,1,"R$ 48.071,61",0
15621075,778,Germany,Female,45,1,"R$ 162.150,42",2,1,0,"R$ 174.531,27",0
15810845,636,France,Male,42,2,"R$ 0,00",2,1,1,"R$ 55.470,78",0
15719377,804,France,Female,50,4,"R$ 0,00",1,1,1,"R$ 8.546,87",1
15654506,514,France,Male,32,8,"R$ 0,00",2,1,0,"R$ 95.857,18",0
15771977,730,France,Female,39,1,"R$ 99.010,67",1,1,0,"R$ 194.945,80",0
15708710,525,Spain,Female,37,0,"R$ 0,00",1,0,1,"R$ 131.521,72",0
15726676,616,Spain,Male,30,5,"R$ 0,00",2,0,1,"R$ 196.108,51",0
15587421,687,Germany,Female,34,7,"R$ 111.388,18",2,1,0,"R$ 148.564,76",0
15726931,715,France,Female,41,8,"R$ 56.214,85",2,0,0,"R$ 92.982,61",1
15771086,512,France,Female,36,3,"R$ 84.327,77",2,1,0,"R$ 17.675,36",0
15756850,479,France,Male,40,1,"R$ 0,00",2,0,0,"R$ 114.996,43",0
15702741,601,France,Male,32,8,"R$ 93.012,89",1,1,0,"R$ 86.957,42",0
15679200,580,Spain,Male,29,9,"R$ 61.710,44",2,1,0,"R$ 128.077,80",0
15594815,807,France,Male,35,3,"R$ 174.790,15",1,1,1,"R$ 600,36",0
15635905,616,Spain,Female,32,6,"R$ 0,00",2,1,1,"R$ 43.001,46",0
15777892,721,Germany,Male,37,3,"R$ 107.720,64",1,1,1,"R$ 158.591,12",0
15656176,501,France,Male,57,10,"R$ 0,00",2,1,1,"R$ 47.847,19",0
15811127,521,France,Male,35,6,"R$ 96.423,84",1,1,0,"R$ 10.488,44",0
15604482,850,Spain,Male,30,2,"R$ 141.040,01",1,1,1,"R$ 1,489,492,00",0
15622911,759,France,Male,42,4,"R$ 105.420,18",1,0,1,"R$ 121.409,06",0
15600974,516,Spain,Male,50,5,"R$ 0,00",1,0,1,"R$ 146.145,93",1
15727868,711,France,Female,38,2,"R$ 129.022,06",2,1,1,"R$ 14.374,86",1
15627801,512,Spain,Male,33,3,"R$ 176.666,62",1,1,0,"R$ 94.670,77",0
15773039,550,France,Male,37,3,"R$ 0,00",1,1,1,"R$ 179.670,31",0
15755262,608,Spain,Female,41,3,"R$ 89.763,84",1,0,0,"R$ 199.304,74",1
15679531,618,France,Male,34,5,"R$ 134.954,53",1,1,1,"R$ 151.954,39",0
15684181,643,France,Male,45,5,"R$ 0,00",1,1,0,"R$ 142.513,50",1
15612087,671,France,Male,45,2,"R$ 106.376,85",1,0,1,"R$ 158.264,62",0
15752047,689,Germany,Male,33,2,"R$ 161.814,64",2,1,0,"R$ 169.381,90",0
15624592,603,France,Male,31,8,"R$ 0,00",2,1,1,"R$ 169.915,02",0
15573152,620,France,Female,41,9,"R$ 0,00",2,0,0,"R$ 88.852,47",0
15594917,676,France,Female,34,1,"R$ 63.095,01",1,1,1,"R$ 40.645,81",0
15785542,572,Germany,Male,26,4,"R$ 118.287,01",2,0,0,"R$ 60.427,30",0
15723488,668,Germany,Male,47,7,"R$ 106.854,21",1,0,1,"R$ 157.959,02",1
15680920,695,France,Male,46,7,"R$ 49.512,55",1,1,0,"R$ 133.007,34",0
15786308,730,Spain,Female,33,9,"R$ 0,00",2,0,0,"R$ 176.576,62",0
15659366,807,France,Male,43,1,"R$ 105.799,32",2,1,0,"R$ 34.888,04",1
15774854,592,France,Male,54,8,"R$ 0,00",1,1,1,"R$ 28.737,71",1
15725311,726,France,Female,31,9,"R$ 114.722,05",2,1,1,"R$ 98.178,57",0
15787155,514,Spain,Male,30,7,"R$ 0,00",1,0,1,"R$ 125.010,24",0
15727829,567,France,Male,42,2,"R$ 0,00",2,1,1,"R$ 167.984,61",0
15733247,850,France,Male,33,10,"R$ 0,00",1,1,0,"R$ 4.861,72",1
15568748,671,Germany,Male,45,6,"R$ 99.564,22",1,1,1,"R$ 108.872,45",1
15699029,670,France,Male,37,4,"R$ 170.557,91",2,1,0,"R$ 198.252,88",0
15774393,694,France,Female,30,9,"R$ 0,00",2,1,1,"R$ 26.960,31",0
15676895,547,Germany,Female,39,6,"R$ 74.596,15",3,1,1,"R$ 85.746,52",1
15637753,751,Germany,Male,50,2,"R$ 96.888,39",1,1,0,"R$ 77.206,25",1
15605461,594,Germany,Female,29,3,"R$ 130.830,22",1,1,0,"R$ 61.048,53",0
15808473,673,France,Male,72,1,"R$ 0,00",2,0,1,"R$ 111.981,19",0
15627000,610,France,Male,40,0,"R$ 0,00",2,1,0,"R$ 62.232,60",0
15787174,512,France,Female,37,1,"R$ 0,00",2,0,1,"R$ 156.105,03",0
15723886,767,Germany,Male,20,3,"R$ 119.714,25",2,0,1,"R$ 150.135,38",0
15704769,585,France,Female,67,5,"R$ 113.978,97",2,0,1,"R$ 93.146,11",0
15772896,763,Germany,Male,42,6,"R$ 100.160,75",1,1,0,"R$ 33.462,94",1
15711540,712,France,Female,29,2,"R$ 0,00",1,1,1,"R$ 144,375,00",0
15764866,539,Germany,Female,43,3,"R$ 116.220,50",3,1,0,"R$ 55.803,96",1
15794056,668,France,Female,46,2,"R$ 0,00",3,1,0,"R$ 89.048,46",1
15795149,703,France,Male,28,2,"R$ 81.173,83",2,0,1,"R$ 162.812,16",0
15812009,662,Spain,Male,38,4,"R$ 0,00",2,1,0,"R$ 136.259,65",0
15651001,725,Germany,Female,39,5,"R$ 116.803,80",1,1,0,"R$ 124.052,97",0
15813844,703,France,Male,37,8,"R$ 105.961,68",2,0,1,"R$ 74.158,80",0
15596175,659,Germany,Male,67,6,"R$ 117.411,60",1,1,1,"R$ 45.071,09",1
15576269,523,Spain,Male,34,7,"R$ 0,00",2,1,0,"R$ 62.030,06",0
15797219,635,France,Female,40,10,"R$ 123.497,58",1,1,0,"R$ 131.953,23",1
15685500,772,Germany,Male,26,7,"R$ 152.400,51",2,1,0,"R$ 79,414,00",0
15599792,545,France,Female,26,1,"R$ 0,00",2,1,1,"R$ 199.638,56",0
15657566,634,Germany,Male,24,8,"R$ 103.097,85",1,1,1,"R$ 157.577,29",0
15772423,739,Germany,Male,54,8,"R$ 126.418,14",1,1,0,"R$ 134.420,75",1
15628112,771,Germany,Female,36,5,"R$ 77.846,90",1,0,0,"R$ 99.805,99",0
15753754,587,Spain,Female,34,1,"R$ 0,00",2,1,1,"R$ 97.932,68",0
15793726,681,France,Female,79,0,"R$ 0,00",2,0,1,"R$ 170.968,99",0
15694717,544,Germany,Male,37,2,"R$ 79.731,91",1,1,1,"R$ 57.558,95",0
15665834,696,Spain,Male,28,8,"R$ 0,00",1,0,0,"R$ 176.713,47",0
15765297,766,Spain,Male,41,0,"R$ 0,00",2,0,1,"R$ 34.283,23",0
15636684,727,France,Male,34,10,"R$ 0,00",2,1,1,"R$ 198.637,34",0
15592979,671,Germany,Female,34,6,"R$ 37.266,67",2,0,0,"R$ 156.917,12",0
15750803,693,France,Female,30,6,"R$ 127.992,25",1,1,1,"R$ 50.457,20",0
15607178,850,Germany,Male,38,3,"R$ 54.901,01",1,1,1,"R$ 140.075,55",0
15713853,732,Germany,Male,42,9,"R$ 108.748,08",2,1,1,"R$ 65.323,11",0
15673481,726,Spain,Female,48,6,"R$ 99.906,19",1,1,0,"R$ 64.323,24",0
15686776,557,France,Female,32,6,"R$ 184.686,41",2,1,0,"R$ 14.956,44",0
15673693,682,France,Female,26,0,"R$ 110.654,02",1,0,1,"R$ 111.879,21",0
15700696,738,Spain,Male,31,9,"R$ 79.019,80",1,1,1,"R$ 18.606,23",0
15813163,531,Spain,Female,36,9,"R$ 99.240,51",1,1,0,"R$ 123.137,01",0
15653857,498,France,Male,34,2,"R$ 0,00",2,1,1,"R$ 148.528,24",0
15777076,651,France,Male,36,7,"R$ 0,00",2,1,0,"R$ 13.898,31",0
15717398,549,Spain,Female,39,7,"R$ 0,00",1,0,0,"R$ 81.259,25",1
15799217,791,Germany,Female,35,7,"R$ 52.436,20",1,1,0,"R$ 161.051,75",0
15787071,650,Spain,Male,41,9,"R$ 0,00",2,0,1,"R$ 191.599,67",0
15619955,733,Germany,Male,34,3,"R$ 100.337,96",3,1,0,"R$ 48.559,19",1
15796505,811,Germany,Female,34,1,"R$ 149.297,19",2,1,1,"R$ 186.339,74",0
15725166,707,France,Male,30,8,"R$ 0,00",2,1,0,"R$ 33.159,37",0
15800116,712,Germany,Male,28,4,"R$ 145.605,44",1,0,1,"R$ 93.883,53",0
15758685,706,Spain,Female,37,7,"R$ 0,00",2,1,1,"R$ 110.899,30",0
15694456,756,France,Male,62,3,"R$ 0,00",1,1,1,"R$ 11.199,04",1
15767339,777,France,Female,53,10,"R$ 0,00",2,1,0,"R$ 189.992,97",0
15683562,646,France,Male,35,6,"R$ 84.026,86",1,0,1,"R$ 164.255,69",0
15782210,714,France,Male,46,1,"R$ 0,00",1,1,0,"R$ 152.167,79",1
15668893,782,France,Male,39,8,"R$ 0,00",2,1,1,"R$ 33.949,67",0
15669169,775,Spain,Male,29,10,"R$ 0,00",2,1,1,"R$ 68.143,93",0
15643024,479,Germany,Male,35,4,"R$ 138.718,92",1,1,1,"R$ 47.251,79",1
15699389,807,France,Male,42,7,"R$ 118.274,71",1,1,1,"R$ 25.885,72",0
15708608,799,France,Female,22,8,"R$ 174.185,98",2,0,1,"R$ 192.633,85",0
15626144,675,France,Male,40,7,"R$ 113.208,86",2,1,0,"R$ 34.577,36",0
15573112,602,Spain,Male,29,5,"R$ 103.907,28",1,1,0,"R$ 161.229,84",0
15790678,475,France,Female,32,8,"R$ 119.023,28",1,1,0,"R$ 100.816,29",0
15727556,744,Spain,Female,26,5,"R$ 166.297,89",1,1,1,"R$ 181.694,44",0
15697307,588,Spain,Male,34,10,"R$ 0,00",2,1,0,"R$ 79.078,91",0
15652266,703,Germany,Male,42,9,"R$ 63.227,00",1,0,1,"R$ 137.316,32",0
15607098,747,Spain,Female,41,5,"R$ 94.521,17",2,1,0,"R$ 194.926,86",0
15655774,583,France,Male,27,7,"R$ 0,00",2,1,0,"R$ 51.285,49",0
15590241,750,Spain,Female,34,9,"R$ 112.822,26",1,0,0,"R$ 150.401,53",1
15785819,681,France,Male,38,3,"R$ 0,00",2,1,1,"R$ 112.491,96",0
15723654,773,France,Male,25,2,"R$ 135.903,33",1,1,0,"R$ 73.656,38",0
15774510,714,France,Female,31,4,"R$ 125.169,26",1,1,1,"R$ 106.636,89",0
15684173,687,Spain,Female,44,7,"R$ 0,00",3,1,0,"R$ 155.853,52",1
15650068,511,France,Male,58,0,"R$ 149.117,31",1,1,1,"R$ 162.599,51",0
15811490,627,France,Male,33,5,"R$ 0,00",2,1,1,"R$ 103.737,82",0
15803976,694,France,Female,31,10,"R$ 0,00",2,1,0,"R$ 160.990,27",0
15682541,616,Spain,Female,36,6,"R$ 132.311,71",1,0,0,"R$ 15.462,84",0
15695699,687,France,Male,35,8,"R$ 0,00",2,1,0,"R$ 10.334,05",0
15624188,712,France,Female,33,6,"R$ 0,00",2,1,1,"R$ 190.686,16",0
15812191,553,France,Male,33,4,"R$ 118.082,89",1,0,0,"R$ 94.440,45",0
